stimulus;picture_number;SOA;target;target_position;set;saliency;response;resp_code;RT
congruent;18;200;Z;bottom;semantic;control;correct;11;432,3
congruent;04;100;Z;bottom;semantic;control;correct;11;469,2
congruent;19;200;Z;right;semantic;control;correct;11;515,4
congruent;40;300;Z;left;semantic;control;correct;11;384,4
congruent;27;200;Z;left;semantic;control;correct;11;404,5
congruent;33;300;N;bottom;semantic;control;correct;12;448
congruent;23;100;N;right;semantic;control;correct;12;425
incongruent;39;200;N;right;semantic;salient;correct;12;366,4
congruent;22;300;Z;top;semantic;control;correct;11;509,7
incongruent;49;200;N;bottom;semantic;salient;correct;12;491,6
incongruent;31;200;Z;left;semantic;salient;correct;11;492,4
congruent;12;200;N;left;semantic;control;correct;12;867,2
congruent;31;200;N;right;semantic;control;correct;12;412,9
incongruent;46;300;Z;right;semantic;salient;correct;11;544,1
incongruent;05;300;Z;bottom;semantic;salient;correct;11;436,7
incongruent;36;300;Z;top;semantic;salient;correct;11;489,9
incongruent;23;300;N;bottom;semantic;salient;correct;12;443,5
incongruent;27;300;Z;left;semantic;salient;correct;11;491
congruent;07;100;N;right;semantic;control;correct;12;487,6
incongruent;11;200;N;right;semantic;salient;correct;12;418,8
congruent;34;200;Z;bottom;semantic;control;correct;11;565,6
incongruent;39;300;Z;bottom;semantic;salient;correct;11;481,7
incongruent;37;300;N;top;semantic;salient;correct;12;442,6
congruent;49;200;Z;right;semantic;control;correct;11;486,4
incongruent;32;100;Z;top;semantic;salient;correct;11;505,5
congruent;30;300;N;left;semantic;control;correct;12;469,1
congruent;35;300;Z;left;semantic;control;correct;11;399,9
congruent;36;100;N;left;semantic;control;correct;12;621
incongruent;29;100;N;left;semantic;salient;correct;12;470,7
incongruent;39;100;N;bottom;semantic;salient;correct;12;512,4
congruent;28;100;Z;bottom;semantic;control;correct;11;568,8
congruent;48;200;N;top;semantic;control;correct;12;506,5
incongruent;22;300;N;right;semantic;salient;correct;12;427,2
incongruent;31;300;N;left;semantic;salient;correct;12;456,9
congruent;29;300;N;top;semantic;control;correct;12;458,4
congruent;11;100;Z;left;semantic;control;correct;11;545,3
incongruent;42;100;N;left;semantic;salient;correct;12;529,6
incongruent;22;200;N;left;semantic;salient;correct;12;431,3
incongruent;32;200;N;top;semantic;salient;correct;12;639,2
incongruent;04;200;Z;right;semantic;salient;correct;11;474,1
congruent;23;200;Z;top;semantic;control;correct;11;448,2
congruent;19;300;N;right;semantic;control;correct;12;402,7
congruent;35;100;N;bottom;semantic;control;correct;12;568,6
congruent;34;300;Z;top;semantic;control;correct;11;492,9
congruent;40;200;Z;left;semantic;control;correct;11;411,2
incongruent;19;100;Z;right;semantic;salient;correct;11;522,4
incongruent;34;200;Z;bottom;semantic;salient;correct;11;560,1
congruent;09;200;N;bottom;semantic;control;correct;12;416,2
congruent;02;200;N;right;semantic;control;correct;12;590,7
congruent;44;300;N;bottom;semantic;control;correct;12;585,4
congruent;04;200;Z;top;semantic;control;correct;11;659
incongruent;25;100;Z;top;semantic;salient;correct;11;634,7
congruent;41;100;N;top;semantic;control;correct;12;539,5
incongruent;25;300;Z;top;semantic;salient;correct;11;485,3
congruent;47;300;Z;bottom;semantic;control;correct;11;445,6
incongruent;49;100;Z;bottom;semantic;salient;correct;11;417,9
congruent;16;200;N;left;semantic;control;correct;12;612,3
incongruent;40;100;Z;left;semantic;salient;correct;11;527,1
congruent;04;300;Z;right;semantic;control;incorrect;2;474,6
congruent;38;300;N;top;semantic;control;correct;12;510,2
incongruent;13;200;Z;top;semantic;salient;correct;11;804,3
congruent;22;100;Z;top;semantic;control;correct;11;530,2
incongruent;27;100;N;right;semantic;salient;correct;12;423,6
incongruent;23;200;Z;bottom;semantic;salient;correct;11;456,9
incongruent;28;100;N;top;semantic;salient;correct;12;443
congruent;32;300;Z;left;semantic;control;correct;11;371,5
incongruent;10;300;Z;right;semantic;salient;correct;11;431,9
incongruent;12;100;Z;top;semantic;salient;correct;11;504,6
incongruent;44;200;N;right;semantic;salient;correct;12;324,9
congruent;10;300;Z;right;semantic;control;correct;11;508,6
congruent;31;300;N;left;semantic;control;correct;12;441,8
congruent;01;200;N;top;semantic;control;correct;12;378,6
incongruent;22;100;N;top;semantic;salient;correct;12;428,8
incongruent;33;300;N;left;semantic;salient;correct;12;392,7
incongruent;36;100;N;left;semantic;salient;correct;12;395,7
congruent;02;100;Z;right;semantic;control;correct;11;502,6
incongruent;16;200;N;top;semantic;salient;correct;12;452,7
congruent;05;200;Z;bottom;semantic;control;correct;11;499,9
incongruent;43;200;N;left;semantic;salient;correct;12;469,5
incongruent;48;100;Z;right;semantic;salient;incorrect;2;358,4
incongruent;08;100;Z;left;semantic;salient;correct;11;505,6
incongruent;41;300;Z;right;semantic;salient;correct;11;490
congruent;20;100;N;left;semantic;control;correct;12;531,9
congruent;32;100;N;right;semantic;control;correct;12;584,6
incongruent;03;100;N;bottom;semantic;salient;correct;12;424,3
congruent;01;100;Z;left;semantic;control;correct;11;573,4
congruent;20;200;N;bottom;semantic;control;incorrect;1;557,5
congruent;16;300;N;right;semantic;control;correct;12;580,1
congruent;49;100;N;top;semantic;control;correct;12;530,6
congruent;25;100;N;bottom;semantic;control;correct;12;570,2
congruent;19;100;Z;right;semantic;control;correct;11;581,5
congruent;03;300;Z;bottom;semantic;control;correct;11;1249,4
congruent;13;200;Z;left;semantic;control;correct;11;420,2
congruent;01;300;Z;top;semantic;control;correct;11;615,4
incongruent;09;200;Z;left;semantic;salient;correct;11;433,2
incongruent;03;200;N;bottom;semantic;salient;correct;12;483,8
incongruent;33;100;N;right;semantic;salient;correct;12;654,3
incongruent;06;100;Z;bottom;semantic;salient;correct;11;521,2
incongruent;06;300;N;bottom;semantic;salient;correct;12;581,6
incongruent;08;300;Z;left;semantic;salient;correct;11;488,6
incongruent;16;300;N;right;semantic;salient;correct;12;384,1
congruent;32;200;Z;right;semantic;control;correct;11;615,4
incongruent;18;200;Z;right;semantic;salient;correct;11;498,1
congruent;12;300;N;bottom;semantic;control;correct;12;574,1
incongruent;35;200;Z;top;semantic;salient;correct;11;485,6
incongruent;15;200;Z;left;semantic;salient;correct;11;512,3
incongruent;28;200;N;top;semantic;salient;correct;12;518,6
congruent;50;100;Z;top;semantic;control;correct;11;522,5
congruent;08;100;Z;bottom;semantic;control;correct;11;434,4
incongruent;50;100;Z;bottom;semantic;salient;correct;11;488,3
congruent;02;300;Z;bottom;semantic;control;correct;11;453
incongruent;07;100;Z;left;semantic;salient;correct;11;413
incongruent;29;300;Z;top;semantic;salient;correct;11;405,3
congruent;18;100;N;left;semantic;control;incorrect;1;327,5
congruent;26;100;Z;top;semantic;control;correct;11;518,5
incongruent;40;300;Z;bottom;semantic;salient;correct;11;454,9
congruent;25;200;Z;left;semantic;control;correct;11;387,8
congruent;11;300;Z;right;semantic;control;correct;11;521,2
incongruent;44;300;N;top;semantic;salient;correct;12;487,8
incongruent;32;300;Z;bottom;semantic;salient;correct;11;462,3
incongruent;24;300;N;top;semantic;salient;correct;12;440,2
